Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
198,Udonis Haslem,C,42,MIA,6,1,7.7,0.2,2,0.083,0,0.3,0,0.2,1.7,0.1,0.083,0.2,0.3,0.5,0.7,0.7,1.3,0,0.2,0.2,0,1.3,0.5
199,Sam Hauser,PF,25,BOS,76,5,15.6,2.1,4.7,0.451,1.6,3.9,0.417,0.5,0.7,0.636,0.627,0.2,0.2,0.706,0.4,2,2.5,0.8,0.3,0.3,0.3,1.3,6
200,Jaxson Hayes,C,22,NOP,46,2,13.2,1.9,3.4,0.555,0.1,0.6,0.103,1.8,2.7,0.659,0.565,1.3,1.8,0.699,0.8,2,2.8,0.7,0.4,0.4,0.7,1.5,5.1
201,Killian Hayes,PG,21,DET,72,52,27.7,4,10.6,0.374,1,3.7,0.278,2.9,6.9,0.425,0.423,1.1,1.3,0.802,0.3,2.5,2.8,6.2,1.4,0.3,2.2,2.9,10
202,Gordon Hayward,SF,32,CHO,50,50,31.5,5.5,11.6,0.475,1,3.2,0.325,4.5,8.4,0.532,0.52,2.6,3.2,0.811,0.7,3.6,4.3,4.1,0.8,0.2,2,1.4,14.7
203,Juancho Hernangómez,PF,27,TOR,42,10,14.6,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.496,0.2,0.4,0.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1,2.9
204,Willy Hernangómez,C,28,NOP,38,2,12.1,2.3,4.4,0.527,0.1,0.3,0.273,2.3,4.2,0.544,0.536,2.1,2.7,0.779,1.5,3.2,4.7,0.9,0.4,0.3,1,1.7,6.9
205,Tyler Herro,SG,23,MIA,64,64,35.3,7.4,16.8,0.439,3.1,8.1,0.376,4.3,8.6,0.498,0.53,2.5,2.7,0.931,0.4,5,5.5,4.2,0.8,0.3,2.4,1.5,20.3
206,Buddy Hield,SF,30,IND,77,73,31.4,5.9,13.1,0.453,3.6,8.5,0.42,2.4,4.6,0.514,0.589,1.3,1.6,0.824,0.9,4.2,5,2.8,1.2,0.3,1.8,2,16.8
207,Haywood Highsmith,SF,26,MIA,51,9,17.5,1.7,3.9,0.429,0.7,2,0.35,1,1.9,0.516,0.52,0.2,0.5,0.462,1,2.4,3.3,0.7,0.7,0.3,0.7,1.5,4.3
208,George Hill,PG,36,TOT,44,1,18,1.6,3.5,0.455,0.6,2,0.322,1,1.5,0.627,0.545,0.9,1.1,0.76,0.3,1.5,1.8,2.3,0.6,0.1,0.7,1.2,4.7
208,George Hill,PG,36,MIL,35,0,19.1,1.7,3.8,0.447,0.7,2.1,0.311,1,1.7,0.621,0.534,1,1.3,0.739,0.4,1.5,1.9,2.5,0.5,0.1,0.8,1.2,5
208,George Hill,PG,36,IND,9,1,14,1.2,2.4,0.5,0.6,1.4,0.385,0.7,1,0.667,0.614,0.4,0.4,1,0.1,1.4,1.6,1.4,0.7,0.3,0.6,1.1,3.4
209,Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1,0.625,0,0,,0,0.6,0.6,0,0,0,0,0.2,1
210,Aaron Holiday,PG,26,ATL,59,5,13.3,1.5,3.5,0.424,0.6,1.4,0.407,0.9,2.1,0.435,0.505,0.4,0.5,0.833,0.4,0.8,1.2,1.3,0.5,0.2,0.5,1.3,3.9
211,Jrue Holiday,PG,32,MIL,65,63,32.6,7.2,15.2,0.477,2.3,6.1,0.383,4.9,9,0.541,0.554,2.3,2.7,0.864,1.2,3.8,5,7.2,1.2,0.4,2.9,1.7,19.1
212,Justin Holiday,SG,33,TOT,44,2,14.9,1.6,4.2,0.38,1,3,0.333,0.6,1.2,0.5,0.5,0.1,0.2,0.714,0.1,1,1.1,0.9,0.4,0.4,0.5,1.4,4.3
212,Justin Holiday,SG,33,ATL,28,0,14.7,1.7,4.5,0.384,1.1,3.1,0.345,0.6,1.4,0.474,0.504,0,0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.3,4.5
212,Justin Holiday,SG,33,DAL,16,2,15.4,1.4,3.7,0.373,0.9,2.8,0.311,0.5,0.9,0.571,0.492,0.3,0.4,0.714,0.1,1.4,1.5,0.8,0.7,0.5,0.6,1.6,3.9
213,Richaun Holmes,C,29,SAC,39,1,8.3,1.3,1.9,0.658,0.1,0.2,0.667,1.2,1.8,0.657,0.684,0.4,0.5,0.789,0.7,1.2,1.9,0.2,0.1,0.3,0.4,1.2,3.1
214,Al Horford,C,36,BOS,61,61,30.5,3.6,7.5,0.479,2.3,5,0.451,1.3,2.5,0.536,0.631,0.2,0.3,0.714,1.1,5,6.2,3,0.5,1,0.6,1.9,9.7
215,Talen Horton-Tucker,SG,22,UTA,64,19,19.9,3.9,9.3,0.422,0.9,3.1,0.291,3,6.1,0.489,0.471,1.8,2.4,0.755,0.6,2.6,3.2,3.7,0.6,0.4,1.9,1.7,10.5
216,Danuel House Jr.,SF,29,PHI,52,4,14,1.6,3.3,0.482,0.7,1.9,0.356,0.9,1.3,0.667,0.588,0.6,0.9,0.702,0.2,1.4,1.6,0.7,0.3,0.2,0.4,1.2,4.5
217,Caleb Houstan,SF,20,ORL,48,2,15,1.2,3.2,0.361,0.8,2.4,0.33,0.4,0.8,0.45,0.484,0.2,0.3,0.846,0.6,1.3,2,0.5,0.2,0.1,0.3,1.3,3.4
218,Trevor Hudgins,PG,23,HOU,5,0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0,0.2,0,0.333,0.6,0.6,1,0,0,0,0.6,0,0,0.2,0.2,1.8
219,Kevin Huerter,SG,24,SAC,72,72,29.6,5.6,11.6,0.486,2.8,6.9,0.405,2.8,4.7,0.604,0.606,1.3,1.8,0.725,0.5,2.8,3.3,2.9,1,0.3,1.3,2.4,15.3
220,Jay Huff,C,24,WAS,4,0,3.8,0.3,0.5,0.5,0,0.3,0,0.3,0.3,1,0.5,1.3,1.3,1,0,1,1,0.8,0,0,0.5,0.3,1.8
221,De'Andre Hunter,SF,25,ATL,65,65,32,5.7,12.3,0.459,1.5,4.3,0.351,4.2,8,0.516,0.52,2.6,3.1,0.823,0.7,3.6,4.3,1.4,0.5,0.3,1.2,3,15.4
222,Bones Hyland,PG,22,TOT,53,1,19.3,4.1,10.2,0.399,2.1,5.6,0.376,2,4.6,0.426,0.502,1.5,1.8,0.844,0.4,1.9,2.3,3.1,0.7,0.3,1.5,1.7,11.8
222,Bones Hyland,PG,22,DEN,42,1,19.5,4.1,10.3,0.399,2.2,5.7,0.378,2,4.6,0.425,0.503,1.7,2,0.866,0.2,1.8,2,3,0.7,0.3,1.6,1.6,12.1
222,Bones Hyland,PG,22,LAC,11,0,18.6,3.9,9.8,0.398,1.9,5.2,0.368,2,4.6,0.431,0.495,0.9,1.3,0.714,0.8,2.5,3.3,3.5,0.8,0.2,1.1,2.3,10.6
223,Serge Ibaka,C,33,MIL,16,0,11.6,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1
224,Andre Iguodala,SF,39,GSW,8,0,14.1,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1,0.5,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1
225,Joe Ingles,SF,35,MIL,43,0,22.6,2.3,5.4,0.431,1.8,4.4,0.404,0.6,1,0.545,0.595,0.4,0.5,0.857,0.3,2.6,2.9,3.2,0.7,0.1,1.1,1.7,6.8
226,Brandon Ingram,SF,25,NOP,41,41,33.5,9,18.5,0.485,1.5,3.7,0.401,7.5,14.8,0.506,0.525,5.1,5.8,0.882,0.4,4.8,5.2,5.6,0.6,0.4,3.1,2.6,24.5
227,Kyrie Irving,PG,30,TOT,59,59,37.2,9.9,20,0.493,3.1,8.2,0.374,6.8,11.8,0.576,0.57,4.2,4.6,0.904,1,4.1,5.1,5.5,1.1,0.8,2.1,2.7,27
227,Kyrie Irving,PG,30,BRK,40,40,37,10,20.5,0.486,3.3,8.7,0.374,6.7,11.8,0.569,0.565,4,4.5,0.883,1,4.2,5.1,5.3,1,0.8,2.3,2.7,27.1
227,Kyrie Irving,PG,30,DAL,19,19,37.8,9.7,19,0.51,2.7,7.3,0.377,6.9,11.7,0.592,0.582,4.6,4.9,0.946,1.1,3.9,5.1,5.9,1.2,0.6,1.8,2.8,26.7
228,Jonathan Isaac,PF,25,ORL,11,0,11.3,2,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,0.472,0.5,0.8,0.556,1.4,2.6,4,0.5,1.3,0.4,0.4,0.5,5
229,Jaden Ivey,SG,20,DET,70,69,30.7,5.3,12.9,0.412,1.6,4.6,0.337,3.8,8.3,0.453,0.472,3.6,4.8,0.743,1,2.9,3.9,5.1,0.8,0.2,3.1,3.3,15.8
230,Frank Jackson,PG,24,UTA,1,0,5,0,3,0,0,1,0,0,2,0,0,0,0,,1,1,2,1,0,0,0,0,0
231,Isaiah Jackson,C,21,IND,60,10,16.1,2.8,5,0.562,0,0.2,0.143,2.8,4.8,0.582,0.565,1.4,2.2,0.647,1.8,2.6,4.3,0.8,0.5,1.5,0.8,2.4,7.1
232,Jaren Jackson Jr.,C,23,MEM,60,60,28.1,6.4,12.8,0.503,1.5,4.4,0.346,4.9,8.4,0.587,0.563,3.6,4.6,0.78,1.7,5.1,6.8,0.9,1.1,3,1.7,3.6,18
233,Justin Jackson,SF,27,BOS,23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.352,0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9
234,Quenton Jackson,PG,24,WAS,5,0,5.8,0.8,2,0.4,0.2,1,0.2,0.6,1,0.6,0.45,0.4,0.4,1,0.2,0.2,0.4,0.4,0.2,0.2,0,0.6,2.2
235,Reggie Jackson,PG,32,TOT,64,39,24.5,3.8,9.3,0.406,1.4,4.2,0.337,2.4,5.2,0.462,0.482,1,1.2,0.905,0.4,1.7,2.1,3.4,0.7,0.1,1.7,1.7,10
235,Reggie Jackson,PG,32,LAC,52,38,25.7,4.1,9.8,0.418,1.5,4.2,0.35,2.6,5.6,0.469,0.493,1.2,1.3,0.924,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.9
235,Reggie Jackson,PG,32,DEN,12,1,19,2.4,7.2,0.337,1.1,3.9,0.277,1.3,3.3,0.41,0.413,0.5,0.7,0.75,0.3,1.2,1.4,2.8,0.5,0.1,1.3,1.3,6.4
236,LeBron James,PF,38,LAL,51,50,35.6,11,22.1,0.499,2,6.7,0.303,9,15.5,0.584,0.545,4.7,6.1,0.766,1.3,7.2,8.5,6.9,0.9,0.6,3.1,1.7,28.8
237,Ty Jerome,SG,25,GSW,44,2,18.5,2.7,5.5,0.488,0.8,2,0.389,1.9,3.5,0.546,0.56,0.9,0.9,0.927,0.2,1.6,1.8,3.1,0.5,0.1,0.7,1.5,7
238,Isaiah Joe,SG,23,OKC,71,10,19,3.1,6.9,0.444,2.2,5.4,0.408,0.9,1.5,0.57,0.603,1.1,1.3,0.817,0.4,2,2.4,1.2,0.6,0.1,0.5,1.4,9.4
239,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.5,0.3,0.5,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8
240,Cameron Johnson,PF,26,TOT,39,38,28.3,5.3,11.3,0.464,2.5,6.2,0.399,2.8,5.1,0.543,0.574,2.5,2.9,0.835,0.8,3.6,4.4,1.8,1.1,0.3,0.8,2.1,15.5
240,Cameron Johnson,PF,26,PHO,17,16,25.2,4.8,10.2,0.474,2.6,5.8,0.455,2.2,4.4,0.5,0.604,1.6,1.9,0.818,0.8,3,3.8,1.5,0.9,0.4,0.6,1.7,13.9
240,Cameron Johnson,PF,26,BRK,22,22,30.7,5.6,12.2,0.457,2.4,6.5,0.361,3.2,5.7,0.568,0.554,3.1,3.7,0.841,0.7,4.1,4.8,2.1,1.3,0.3,1,2.4,16.7
241,Jalen Johnson,SF,21,ATL,66,6,14.5,2,4.3,0.477,0.4,1.4,0.29,1.6,2.9,0.568,0.525,0.7,1,0.662,0.8,3.2,4,1.1,0.5,0.4,0.5,1.6,5.2
242,James Johnson,PF,35,IND,16,1,8.6,1,2.4,0.421,0.2,0.8,0.231,0.8,1.6,0.52,0.461,0.3,0.5,0.5,0.1,1.3,1.4,0.7,0.3,0.4,0.3,1.8,2.4
243,Keldon Johnson,SF,23,SAS,62,62,32.8,8,17.6,0.453,2.1,6.4,0.333,5.8,11.1,0.522,0.514,3.9,5.2,0.747,0.9,4.2,5,2.9,0.7,0.2,2.1,2,22
244,Keon Johnson,SG,20,POR,40,0,10.4,1.7,4.5,0.376,0.7,2,0.346,1,2.4,0.402,0.455,0.7,1,0.659,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,4.7
245,Stanley Johnson,SF,26,SAS,30,0,15.6,2.2,4.1,0.533,0.6,1.3,0.45,1.6,2.7,0.573,0.607,0.9,1.3,0.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8
246,Nikola Jokić,C,27,DEN,67,67,33.9,9.5,15,0.634,0.9,2.2,0.39,8.7,12.8,0.676,0.663,5.1,6.1,0.823,2.5,9.4,11.9,9.9,1.2,0.7,3.5,2.6,24.9
247,Carlik Jones,PG,25,CHI,4,0,7,0.3,1.8,0.143,0,0.3,0,0.3,1.5,0.167,0.143,0.3,1,0.25,0.3,0.5,0.8,0.5,0,0,0.3,0.5,0.8
248,Damian Jones,C,27,TOT,37,1,10.4,1.1,1.9,0.594,0.2,0.4,0.538,0.9,1.5,0.607,0.645,0.5,0.7,0.76,1,1.8,2.8,0.3,0.2,0.5,0.5,1.2,2.9
248,Damian Jones,C,27,LAL,22,1,8,0.9,1.7,0.541,0,0.1,0,0.9,1.5,0.588,0.541,0.7,0.9,0.75,0.8,1.7,2.5,0.2,0.1,0.5,0.4,0.8,2.5
248,Damian Jones,C,27,UTA,15,0,13.9,1.4,2.1,0.656,0.5,0.7,0.7,0.9,1.5,0.636,0.766,0.3,0.3,0.8,1.2,1.9,3.1,0.5,0.3,0.5,0.7,1.8,3.5
249,Derrick Jones Jr.,SF,25,CHI,60,0,14,1.8,3.6,0.507,0.4,1.2,0.333,1.4,2.4,0.59,0.561,1,1.4,0.756,0.9,1.4,2.4,0.6,0.4,0.6,0.4,1.3,5
250,Herbert Jones,SF,24,NOP,62,62,29.1,3.4,7.4,0.46,0.8,2.5,0.316,2.6,4.9,0.533,0.513,1.8,2.4,0.753,1.5,2.6,4,2.4,1.6,0.6,1.3,3.2,9.4
251,Kai Jones,C,22,CHO,43,0,11.4,1.4,2.5,0.575,0.1,0.3,0.214,1.3,2.1,0.63,0.59,0.4,0.6,0.72,0.8,1.9,2.7,0.3,0.3,0.6,0.7,1.4,3.3
252,Tre Jones,PG,23,SAS,64,61,29.2,4.9,10.9,0.451,0.6,2.3,0.272,4.3,8.6,0.498,0.479,2.1,2.5,0.86,0.8,2.7,3.5,6.4,1.4,0.1,1.6,1.5,12.5
253,Tyus Jones,PG,26,MEM,77,21,24.1,3.9,8.9,0.44,1.5,4.1,0.378,2.4,4.9,0.492,0.526,1,1.2,0.792,0.4,2.1,2.5,5.1,1,0.1,0.9,0.4,10.4
254,DeAndre Jordan,C,34,DEN,36,6,14.5,2.1,2.8,0.755,0,0,1,2.1,2.8,0.752,0.76,0.5,1.2,0.432,1.2,3.8,5,0.9,0.3,0.6,1.2,1.9,4.8
255,Cory Joseph,PG,31,DET,58,2,19,2.3,5.4,0.431,1,2.6,0.386,1.3,2.8,0.475,0.526,1,1.2,0.803,0.3,1.4,1.7,3.4,0.5,0.2,0.9,1.4,6.7
256,Nikola Jović,PF,19,MIA,15,8,13.6,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,0.464,1.2,1.3,0.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5
257,Johnny Juzang,SF,21,UTA,15,0,12.3,1.8,5.3,0.338,0.9,3.6,0.259,0.9,1.7,0.5,0.425,0.1,0.3,0.5,0.3,1.7,2,0.5,0.2,0.2,0.1,0.8,4.7
258,Mfiondu Kabengele,PF,25,BOS,2,0,7,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,1.5,1,2.5,0,0,0,0.5,1.5,1
259,Frank Kaminsky,C,29,TOT,35,0,6.2,0.8,1.6,0.5,0.3,0.9,0.4,0.5,0.7,0.615,0.607,0.4,0.5,0.875,0.1,1.2,1.3,0.8,0.2,0.1,0.3,0.6,2.3
259,Frank Kaminsky,C,29,ATL,26,0,6.8,1,1.7,0.568,0.4,0.9,0.478,0.5,0.8,0.667,0.693,0.4,0.5,0.833,0.1,1.3,1.4,0.8,0.2,0,0.3,0.8,2.7
259,Frank Kaminsky,C,29,HOU,9,0,4.7,0.3,1.3,0.25,0.1,0.8,0.143,0.2,0.6,0.4,0.292,0.4,0.4,1,0.2,0.9,1.1,0.9,0.1,0.2,0,0.1,1.2
260,Trevor Keels,SG,19,NYK,3,0,2.7,0.3,1.3,0.25,0.3,1.3,0.25,0,0,,0.375,0,0,,0,0.7,0.7,0,0,0,0,0,1
261,Luke Kennard,SG,26,TOT,57,12,21.9,3.1,6.4,0.483,2.1,4.4,0.484,0.9,1.9,0.482,0.652,0.6,0.6,0.946,0.2,2.4,2.6,1.5,0.5,0.1,0.8,1.4,8.9
261,Luke Kennard,SG,26,LAC,35,11,20.7,2.8,6,0.464,1.7,3.8,0.447,1.1,2.3,0.494,0.604,0.5,0.6,0.95,0.2,2.2,2.4,1.1,0.5,0.1,0.9,1.3,7.8
261,Luke Kennard,SG,26,MEM,22,1,23.8,3.5,6.9,0.51,2.9,5.5,0.525,0.6,1.4,0.452,0.719,0.7,0.8,0.941,0.4,2.6,3,2.1,0.5,0,0.7,1.5,10.6
262,Walker Kessler,C,21,UTA,74,40,23,4,5.6,0.72,0,0,0.333,4,5.6,0.723,0.721,1.1,2.1,0.516,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2
263,Braxton Key,SF,25,DET,3,0,3,0.3,0.3,1,0,0,,0.3,0.3,1,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,1.3
264,Corey Kispert,SF,23,WAS,70,41,28.4,3.8,7.7,0.5,2.2,5.1,0.43,1.7,2.6,0.637,0.642,1,1.1,0.861,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,10.8
265,Maxi Kleber,C,31,DAL,36,5,25.4,2.1,4.6,0.458,1.1,3.1,0.355,1,1.6,0.661,0.575,0.7,1,0.703,0.8,2.9,3.7,1.4,0.3,0.8,0.7,2.3,6
266,Nathan Knight,PF,25,MIN,36,0,7.9,1.2,2.2,0.564,0.2,0.6,0.364,1,1.6,0.643,0.615,1.1,1.5,0.691,0.6,0.9,1.5,0.4,0.3,0.2,0.5,1,3.7
267,Kevin Knox,PF-SF,23,TOT,59,2,14.1,2.2,4.7,0.46,0.9,2.7,0.34,1.2,2,0.624,0.558,0.6,0.7,0.773,0.5,2.1,2.7,0.5,0.4,0.2,0.7,1.5,5.8
267,Kevin Knox,PF,23,DET,42,1,14.1,2,4.3,0.469,1,2.8,0.371,1,1.5,0.651,0.589,0.6,0.8,0.788,0.5,2.1,2.6,0.4,0.3,0.3,0.8,1.8,5.6
267,Kevin Knox,SF,23,POR,17,1,14.2,2.5,5.7,0.443,0.6,2.5,0.256,1.9,3.2,0.593,0.5,0.5,0.6,0.727,0.6,2.2,2.9,0.8,0.5,0,0.6,1,6.2
268,Christian Koloko,C,22,TOR,54,19,14,1.3,2.7,0.469,0,0.2,0.091,1.2,2.5,0.5,0.472,0.7,1,0.655,1.5,1.5,3,0.5,0.4,1,0.3,2.3,3.2
269,John Konchar,SG,26,MEM,68,22,20.5,1.9,4.4,0.423,0.9,2.5,0.347,1,1.9,0.523,0.522,0.4,0.5,0.8,0.8,3.3,4.1,1.3,1,0.3,0.5,1.5,5
270,Furkan Korkmaz,SG,25,PHI,34,0,8.7,1.2,2.7,0.446,0.4,1.1,0.351,0.8,1.6,0.509,0.516,0.7,1,0.706,0.2,0.8,1,0.6,0.2,0.1,0.6,0.4,3.5
271,Luke Kornet,C,27,BOS,65,0,11.4,1.6,2.4,0.693,0,0.2,0.273,1.6,2.2,0.725,0.703,0.5,0.6,0.811,1.2,1.6,2.8,0.7,0.2,0.7,0.4,1.2,3.8
272,Vit Krejci,PG,22,ATL,26,0,5.4,0.5,1.3,0.424,0.2,0.7,0.263,0.3,0.5,0.643,0.5,0,0.1,0.5,0.1,0.6,0.7,0.5,0.1,0,0.2,0.6,1.3
273,Jonathan Kuminga,PF,20,GSW,64,15,20.8,3.9,7.4,0.522,0.8,2.2,0.357,3.1,5.2,0.592,0.575,1.3,2,0.648,1,2.4,3.4,1.8,0.6,0.4,1.4,2.4,9.8
274,Kyle Kuzma,PF,27,WAS,64,64,35,8,17.8,0.448,2.5,7.5,0.333,5.5,10.3,0.533,0.518,2.7,3.7,0.73,0.9,6.4,7.2,3.7,0.6,0.5,3,2.3,21.2
275,Anthony Lamb,SF,25,GSW,59,3,19.8,2.4,5.2,0.467,1.2,3.4,0.369,1.2,1.8,0.648,0.587,0.8,1,0.767,0.9,2.6,3.5,1.6,0.5,0.3,0.9,2.2,6.9
276,Jock Landale,C,27,PHO,65,3,14.2,2.5,4.8,0.523,0.3,1.3,0.244,2.2,3.5,0.623,0.555,1.2,1.6,0.765,1.7,2.3,4,1,0.2,0.5,0.9,1.9,6.5
277,Romeo Langford,SG,23,SAS,40,21,19.8,2.9,6.2,0.474,0.4,1.5,0.276,2.5,4.7,0.534,0.506,0.8,1.2,0.673,1.4,1.4,2.8,1.2,0.6,0.3,0.7,1.7,7.1
278,Jake LaRavia,PF,21,MEM,35,0,11.8,1.1,2.7,0.389,0.7,2,0.338,0.4,0.7,0.542,0.516,0.2,0.3,0.778,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,3
279,Zach LaVine,SG,27,CHI,74,74,36.1,8.8,18,0.488,2.7,7.1,0.384,6.1,11,0.555,0.563,4.8,5.6,0.849,0.6,3.9,4.5,4.2,0.9,0.2,2.6,2.1,25.1
280,A.J. Lawson,SG,22,TOT,13,0,4.8,1,2,0.5,0.5,1.2,0.438,0.5,0.8,0.6,0.635,0.1,0.2,0.333,0.2,0.6,0.8,0.1,0.1,0,0.1,0.6,2.6
280,A.J. Lawson,SG,22,MIN,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,1,2
280,A.J. Lawson,SG,22,DAL,12,0,5.1,1,2.1,0.48,0.6,1.3,0.438,0.4,0.8,0.556,0.62,0.1,0.3,0.333,0.2,0.6,0.8,0.1,0.1,0,0.1,0.6,2.7
281,Damion Lee,SG,30,PHO,71,5,20.5,2.7,6.1,0.446,1.5,3.4,0.448,1.2,2.7,0.443,0.57,1.3,1.4,0.902,0.5,2.5,3,1.4,0.4,0.1,1,1.6,8.3
282,Saben Lee,PG,23,TOT,22,0,13.7,1.7,4,0.42,0.3,0.9,0.35,1.4,3.1,0.441,0.46,1.6,2.1,0.766,0.5,1.2,1.7,2.5,0.7,0,1,1.2,5.3
282,Saben Lee,PG,23,PHI,2,0,5,1.5,2,0.75,0,0.5,0,1.5,1.5,1,0.75,0,0,,0,0,0,1,0.5,0,1.5,0.5,3
282,Saben Lee,PG,23,PHO,20,0,14.6,1.7,4.2,0.405,0.4,1,0.368,1.4,3.3,0.415,0.446,1.8,2.4,0.766,0.6,1.3,1.9,2.7,0.7,0.1,1,1.3,5.6
283,Alex Len,C,29,SAC,22,1,4.9,0.6,1.1,0.542,0,0.1,0,0.6,1,0.591,0.542,0.3,0.5,0.6,0.5,1.2,1.6,0.4,0.1,0.3,0.5,0.9,1.5
284,Kawhi Leonard,SF,31,LAC,49,47,33.5,8.6,16.7,0.513,2,4.7,0.418,6.6,11.9,0.551,0.573,4.6,5.3,0.873,1.1,5.2,6.3,3.9,1.5,0.6,1.7,1.6,23.7
285,Meyers Leonard,C,30,MIL,6,0,8.5,1.3,2.3,0.571,0.8,1.7,0.5,0.5,0.7,0.75,0.75,0.5,0.7,0.75,0.3,1.8,2.2,0,0.2,0,0.3,1.2,4
286,Caris LeVert,SG,28,CLE,73,30,30.2,4.3,10,0.428,1.7,4.4,0.384,2.6,5.7,0.461,0.511,1.8,2.5,0.722,0.7,3.1,3.8,3.9,1,0.3,1.6,2.3,12
287,Kira Lewis Jr.,PG,21,NOP,24,0,9.7,1.7,3.7,0.455,0.6,1.4,0.441,1,2.3,0.463,0.54,0.7,0.8,0.85,0.2,1.2,1.4,1,0.4,0.1,0.4,1,4.7
288,Damian Lillard,PG,32,POR,58,58,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,0.564,8.8,9.6,0.914,0.8,4,4.8,7.3,0.9,0.3,3.3,1.9,32.2
289,Nassir Little,SF,22,POR,54,4,18.1,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.538,0.6,0.9,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6
290,Isaiah Livers,PF,24,DET,51,21,23,2.3,5.5,0.416,1.4,3.9,0.355,0.9,1.6,0.561,0.541,0.6,0.7,0.806,0.5,2.2,2.7,0.8,0.5,0.5,0.6,2,6.5
291,Kenneth Lofton Jr.,PF,20,MEM,20,0,5.3,1.4,2.8,0.482,0.3,0.6,0.417,1.1,2.2,0.5,0.527,0.4,0.7,0.538,0.5,1,1.5,0.9,0.2,0.1,0.4,1,3.3
292,Kevon Looney,C,26,GSW,79,68,23.8,3,4.7,0.631,0,0,0,3,4.7,0.633,0.631,1.2,1.9,0.601,3.3,5.9,9.2,2.5,0.6,0.6,0.6,2.8,7.1
293,Brook Lopez,C,34,MIL,76,76,30.3,6,11.4,0.528,1.7,4.7,0.372,4.3,6.8,0.636,0.604,1.9,2.4,0.786,2,4.7,6.8,1.3,0.5,2.5,1.4,2.6,15.7
294,Robin Lopez,C,34,CLE,35,1,7.5,1.1,1.7,0.656,0.1,0.1,0.667,1.1,1.7,0.655,0.672,0.3,0.5,0.75,0.6,0.7,1.3,0.4,0,0.2,0.6,1,2.7
295,Kevin Love,PF,34,TOT,59,20,20.2,2.7,6.9,0.388,1.6,4.8,0.333,1.1,2.1,0.512,0.504,1.3,1.5,0.888,1,5.5,6.5,1.9,0.3,0.2,1.1,1.6,8.3
295,Kevin Love,PF,34,CLE,41,3,20,2.7,7,0.389,1.7,4.8,0.354,1,2.2,0.467,0.511,1.4,1.5,0.889,1,5.8,6.8,1.9,0.2,0.2,1.1,1.6,8.5
295,Kevin Love,PF,34,MIA,18,17,20.7,2.6,6.7,0.383,1.4,4.8,0.287,1.2,1.8,0.636,0.488,1.3,1.4,0.885,0.8,4.9,5.8,1.9,0.5,0.2,1.1,1.6,7.8
296,Kyle Lowry,PG,36,MIA,52,44,32,3.6,9.1,0.4,2,5.8,0.34,1.7,3.3,0.503,0.507,2.2,2.5,0.856,0.8,3.4,4.2,5.1,1.1,0.4,1.9,2.6,11.4
297,Trey Lyles,PF,27,SAC,70,0,16.8,2.5,5.4,0.465,1.2,3.2,0.369,1.4,2.3,0.597,0.572,1.4,1.8,0.815,0.9,3.1,4,0.9,0.4,0.4,0.9,1.3,7.7
